"","»’∆⁄","÷ ¡øµ»º∂","AQI÷∏ ˝","µ±ÃÏAQI≈≈√˚","PM2.5","PM10","So2","No2","Co","O3"
"2","2019-01-01","¡º","53","128","35","52","8","42","0.82","22"
"3","2019-01-02","¡º","65","147","45","61","10","50","0.94","19"
"4","2019-01-03","÷–∂»Œ€»æ","163","292","123","137","20","79","1.85","6"
"5","2019-01-04","”≈","49","106","22","44","5","27","0.54","46"
"6","2019-01-05","”≈","31","42","13","30","7","33","0.51","35"
"7","2019-01-06","¡º","85","196","60","91","11","67","1.20","8"
"8","2019-01-07","¡º","57","114","34","56","8","42","0.80","30"
"9","2019-01-08","”≈","31","50","9","27","3","24","0.39","45"
"10","2019-01-09","¡º","59","176","37","63","10","55","0.83","15"
"11","2019-01-10","«·∂»Œ€»æ","104","267","77","112","13","76","1.47","7"
"12","2019-01-11","«·∂»Œ€»æ","136","266","103","129","15","78","1.71","9"
"13","2019-01-12","÷ÿ∂»Œ€»æ","241","333","199","215","13","97","2.47","7"
"14","2019-01-13","÷–∂»Œ€»æ","159","272","130","139","5","60","1.56","28"
"15","2019-01-14","÷–∂»Œ€»æ","154","255","106","142","7","71","1.57","19"
"16","2019-01-15","¡º","54","124","7","60","3","15","0.36","49"
"17","2019-01-16","¡º","60","160","35","68","9","54","0.81","17"
"18","2019-01-17","¡º","66","135","42","74","12","58","1.01","15"
"19","2019-01-18","¡º","86","190","63","105","14","72","1.39","10"
"20","2019-01-19","”≈","34","22","11","33","5","23","0.40","45"
"21","2019-01-20","”≈","34","23","9","31","2","19","0.34","54"
"22","2019-01-21","¡º","53","97","22","59","6","41","0.57","35"
"23","2019-01-22","¡º","60","78","26","69","6","48","0.76","28"
"24","2019-01-23","”≈","47","47","22","51","5","44","0.66","31"
"25","2019-01-24","¡º","80","139","58","75","10","50","1.15","22"
"26","2019-01-25","”≈","35","18","11","34","3","20","0.41","48"
"27","2019-01-26","”≈","35","11","21","35","4","31","0.55","37"
"28","2019-01-27","¡º","90","224","50","102","9","44","0.88","29"
"29","2019-01-28","¡º","52","70","29","54","5","29","0.55","46"
"30","2019-01-29","«·∂»Œ€»æ","135","290","102","134","15","71","1.42","13"
"31","2019-01-30","¡º","74","162","31","79","5","24","0.60","48"
"32","2019-01-31","”≈","33","15","11","22","4","16","0.43","49"
"210","2019-02-01","¡º","67","152","40","81","6","45","0.89","27"
"33","2019-02-02","«·∂»Œ€»æ","138","333","103","134","7","53","1.39","17"
"41","2019-02-03","«·∂»Œ€»æ","115","271","43","159","2","14","0.45","57"
"51","2019-02-04","¡º","77","172","41","99","5","24","0.80","43"
"61","2019-02-05","÷–∂»Œ€»æ","153","253","97","221","9","25","0.88","35"
"71","2019-02-06","¡º","83","196","55","110","13","22","1.12","39"
"81","2019-02-07","”≈","35","50","7","28","2","8","0.32","61"
"91","2019-02-08","”≈","43","181","24","44","5","18","0.45","52"
"101","2019-02-09","”≈","31","56","8","19","3","11","0.33","56"
"111","2019-02-10","”≈","39","116","24","34","5","21","0.50","41"
"121","2019-02-11","¡º","55","163","36","51","7","28","0.72","39"
"131","2019-02-12","”≈","49","132","28","51","6","23","0.75","39"
"141","2019-02-13","”≈","39","77","21","31","2","21","0.54","44"
"151","2019-02-14","¡º","70","237","50","45","4","30","0.90","31"
"161","2019-02-15","”≈","35","83","10","18","2","9","0.32","61"
"171","2019-02-16","”≈","32","56","7","18","2","11","0.33","63"
"181","2019-02-17","”≈","33","60","12","21","3","21","0.41","55"
"191","2019-02-18","”≈","42","139","28","38","6","44","0.69","32"
"201","2019-02-19","«·∂»Œ€»æ","115","273","86","44","4","36","0.96","42"
"211","2019-02-20","¡º","58","118","38","38","4","28","0.58","59"
"221","2019-02-21","«·∂»Œ€»æ","120","257","90","64","5","49","1.10","45"
"231","2019-02-22","«·∂»Œ€»æ","131","283","100","55","5","57","1.28","32"
"241","2019-02-23","÷–∂»Œ€»æ","168","310","128","36","8","63","1.55","47"
"251","2019-02-24","«·∂»Œ€»æ","110","243","80","14","4","46","0.96","48"
"261","2019-02-25","¡º","70","178","49","63","8","46","0.94","39"
"271","2019-02-26","¡º","71","177","50","77","9","56","0.91","27"
"281","2019-02-27","«·∂»Œ€»æ","118","284","89","99","7","57","1.06","43"
"291","2019-02-28","«·∂»Œ€»æ","106","270","75","104","6","51","0.90","50"
"212","2019-03-01","«·∂»Œ€»æ","150","313","114","131","8","58","1.12","57"
"34","2019-03-02","÷ÿ∂»Œ€»æ","235","358","185","122","8","66","1.41","71"
"42","2019-03-03","÷ÿ∂»Œ€»æ","212","353","161","132","9","60","1.35","67"
"52","2019-03-04","«·∂»Œ€»æ","141","309","106","69","5","51","1.04","59"
"62","2019-03-05","«·∂»Œ€»æ","126","287","85","81","4","42","0.91","54"
"72","2019-03-06","”≈","37","73","7","19","1","14","0.29","71"
"82","2019-03-07","”≈","37","69","17","36","3","34","0.45","52"
"92","2019-03-08","¡º","81","287","56","100","8","55","0.74","44"
"102","2019-03-09","«·∂»Œ€»æ","111","346","83","121","8","60","0.82","39"
"112","2019-03-10","«·∂»Œ€»æ","144","354","109","66","4","52","0.97","41"
"122","2019-03-11","¡º","51","85","24","24","2","24","0.46","53"
"132","2019-03-12","”≈","36","8","4","25","1","9","0.25","69"
"142","2019-03-13","”≈","34","5","7","29","1","20","0.30","58"
"152","2019-03-14","”≈","39","23","6","38","2","21","0.30","58"
"162","2019-03-15","”≈","50","108","9","48","1","14","0.25","70"
"172","2019-03-16","¡º","56","122","22","63","3","36","0.49","42"
"182","2019-03-17","¡º","75","239","46","94","6","48","0.67","53"
"192","2019-03-18","«·∂»Œ€»æ","130","354","98","140","9","69","0.84","57"
"202","2019-03-19","÷–∂»Œ€»æ","168","356","126","170","8","74","0.98","70"
"213","2019-03-20","¡º","93","303","65","100","5","38","0.66","62"
"222","2019-03-21","”≈","38","31","5","25","1","8","0.26","70"
"232","2019-03-22","”≈","35","40","7","30","1","17","0.25","59"
"242","2019-03-23","”≈","41","119","10","31","2","11","0.26","72"
"252","2019-03-24","¡º","68","222","34","83","5","40","0.43","45"
"262","2019-03-25","¡º","54","131","22","61","2","37","0.45","54"
"272","2019-03-26","¡º","84","275","43","115","9","42","0.76","55"
"282","2019-03-27","«·∂»Œ€»æ","103","321","66","133","6","51","0.96","47"
"292","2019-03-28","¡º","59","175","24","67","6","27","0.55","53"
"301","2019-03-29","¡º","73","240","22","92","3","30","0.41","47"
"311","2019-03-30","”≈","36","9","4","24","1","7","0.24","70"
"321","2019-03-31","”≈","33","8","8","29","1","23","0.32","54"
"214","2019-04-01","”≈","39","40","11","37","1","27","0.34","58"
"35","2019-04-02","¡º","57","186","27","65","5","37","0.57","51"
"43","2019-04-03","¡º","80","289","56","86","7","47","0.69","72"
"53","2019-04-04","«·∂»Œ€»æ","106","305","70","124","6","52","0.65","74"
"63","2019-04-05","÷ÿ∂»Œ€»æ","210","354","38","282","3","22","0.32","66"
"73","2019-04-06","«·∂»Œ€»æ","137","343","39","222","5","33","0.53","57"
"83","2019-04-07","¡º","76","233","39","101","7","38","0.59","64"
"93","2019-04-08","¡º","62","167","31","74","11","34","0.88","55"
"103","2019-04-09","”≈","38","34","22","30","2","20","0.48","57"
"113","2019-04-10","”≈","44","110","24","29","2","25","0.38","62"
"123","2019-04-11","¡º","64","272","45","63","1","36","0.43","63"
