日期,节气,AQI指数,PM2.5,PM10,So2,No2,Co,O3,最低温度(℃),最高温度(℃),平均温度(℃),湿度(%),风向,风速(m/s),风级(级),气压(hpa),能见度(km),总降水量(mm),平均总云量(%)
2019/1/1,冬至,53,35,52,8,42,0.82,22,-12.1,0.3,-5.5,39,西北风,1.1,1,1036,16,0,40
2019/1/2,冬至,65,45,61,10,50,0.94,19,-10.2,-0.4,-4.9,38,南风,0.6,1,1033,12.2,0,100
2019/1/3,冬至,163,123,137,20,79,1.85,6,-9.5,-0.9,-4.8,45,东风,1,1,1030,4,0,100
2019/1/4,冬至,49,22,44,5,27,0.54,46,-6.3,0.6,-2.1,20,北风,2.5,2,1031,24.9,0,56
2019/1/5,小寒,31,13,30,7,33,0.51,35,-5.6,-0.8,-2.9,17,东北风,1.6,2,1030,26.4,0,95
2019/1/6,小寒,85,60,91,11,67,1.2,8,-9.6,0.4,-4.9,33,东风,0.6,1,1028,6.5,0,100
2019/1/7,小寒,57,34,56,8,42,0.8,30,-8.8,2.4,-2.4,30,北风,1.4,1,1029,20.4,0,100
2019/1/8,小寒,31,9,27,3,24,0.39,45,-6.3,0.8,-2.7,20,北风,2.3,2,1034,26.8,0,75
2019/1/9,小寒,59,37,63,10,55,0.83,15,-9.7,0.8,-4.3,30,西南风,1.6,2,1030,9.1,0,100
2019/1/10,小寒,104,77,112,13,76,1.47,7,-9.1,4.5,-3.1,34,西南风,0.5,1,1023,5.5,0,32
2019/1/11,小寒,136,103,129,15,78,1.71,9,-3.6,5.2,-0.1,41,东南风,0.4,1,1020,4.6,0,96
2019/1/12,小寒,241,199,215,13,97,2.47,7,-5.7,4.4,-2,66,南风,0.8,1,1020,0.9,0,100
2019/1/13,小寒,159,130,139,5,60,1.56,28,-9.8,8.5,-1.1,55,西北风,1,1,1024,7.6,0,22
2019/1/14,小寒,154,106,142,7,71,1.57,19,-7.2,4.8,-1.2,50,西北风,2.1,2,1024,4.6,0,100
2019/1/15,小寒,54,7,60,3,15,0.36,49,-7.8,-2.5,-5.2,14,北风,3.6,3,1034,26.9,0,10
2019/1/16,小寒,60,35,68,9,54,0.81,17,-11.2,1.8,-4.7,21,西南风,0.8,1,1025,9,0,24
2019/1/17,小寒,66,42,74,12,58,1.01,15,-10.3,6.8,-2.2,22,西南风,1.1,1,1022,12.9,0,40
2019/1/18,小寒,86,63,105,14,72,1.39,10,-7.1,5.9,-0.9,26,北风,0.6,1,1021,6.3,0,86
2019/1/19,小寒,34,11,33,5,23,0.4,45,-1.1,3.9,1.4,20,北风,2.3,2,1024,28.3,0,100
2019/1/20,大寒,34,9,31,2,19,0.34,54,-2.4,4.1,0.8,17,西北风,2.9,2,1028,26.5,0,0
2019/1/21,大寒,53,22,59,6,41,0.57,35,-6.2,8.5,1.6,18,西北风,1.5,1,1020,19.8,0,14
